,id_usuario,resgate,Ultima_compra,ultimas_compras,numero_ultimas_compras_x,data_impacto,IPT_x,ipt_campanha_x,delta,ipt_impacto_x,delta_resgate_x,IPT_y,ipt_impacto_y,delta_resgate_y,ipt_campanha_y,numero_ultimas_compras_y,delta_ipt,result_rel
441,7989657,2019-05-29T20:16:07.000-03:00,2019-05-27T15:21:10.000-03:00,"25/04/2019,10/05/2019,28/04/2019,12/05/2019,29/04/2019,18/05/2019,02/05/2019,24/05/2019,06/05/2019,27/05/2019,09/05/2019",11,2019-05-27 00:00:00-03:00,5.6,2,-3.5999999999999996,2,0,5.6,2,0,2,11,0.3571428571428572,0.35714285714285715
442,9216540,2019-05-28T15:44:28.000-03:00,2019-05-24T15:39:32.000-03:00,"25/04/2019,23/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,14.5,4,-10.5,2,1,14.5,2,1,4,3,0.13793103448275867,0.27586206896551724
443,4741930,2019-05-28T15:49:37.000-03:00,2019-05-24T15:27:21.000-03:00,"30/04/2019,06/05/2019,15/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,8.0,4,-4.0,2,1,8.0,2,1,4,4,0.25,0.5
444,8039570,2019-05-30T22:04:12.000-03:00,2019-05-24T22:45:35.000-03:00,"10/04/2019,24/04/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,22.0,5,-17.0,2,3,22.0,2,3,5,3,0.09090909090909094,0.22727272727272727
445,9584608,2019-05-27T16:32:14.000-03:00,2019-05-24T16:22:25.000-03:00,"20/05/2019,21/05/2019,22/05/2019,24/05/2019",4,2019-05-27 00:00:00-03:00,1.3333333333333333,3,1.6666666666666667,2,0,1.3333333333333333,2,0,3,4,1.5,2.25
446,4902328,2019-05-28T17:31:40.000-03:00,2019-05-27T17:21:32.000-03:00,"15/04/2019,23/05/2019,09/05/2019,22/04/2019,24/05/2019,13/05/2019,29/04/2019,27/05/2019,15/05/2019,30/04/2019,16/05/2019,06/05/2019,20/05/2019,07/05/2019",14,2019-05-27 00:00:00-03:00,3.25,1,-2.25,2,0,3.25,2,0,1,14,0.6153846153846154,0.3076923076923077
447,4902328,2019-05-28T17:31:40.000-03:00,2019-05-27T17:21:32.000-03:00,"15/04/2019,23/05/2019,09/05/2019,22/04/2019,24/05/2019,13/05/2019,29/04/2019,27/05/2019,15/05/2019,30/04/2019,16/05/2019,06/05/2019,20/05/2019,07/05/2019",14,2019-05-27 00:00:00-03:00,3.25,1,-2.25,2,0,3.25,2,0,2,13,0.6153846153846154,0.6153846153846154
448,4902328,2019-05-27T17:10:54.000-03:00,2019-05-24T18:30:32.000-03:00,"15/04/2019,23/05/2019,09/05/2019,22/04/2019,24/05/2019,13/05/2019,29/04/2019,15/05/2019,30/04/2019,16/05/2019,06/05/2019,20/05/2019,07/05/2019",13,2019-05-27 00:00:00-03:00,3.25,2,-1.25,2,0,3.25,2,0,1,14,0.6153846153846154,0.3076923076923077
449,4902328,2019-05-27T17:10:54.000-03:00,2019-05-24T18:30:32.000-03:00,"15/04/2019,23/05/2019,09/05/2019,22/04/2019,24/05/2019,13/05/2019,29/04/2019,15/05/2019,30/04/2019,16/05/2019,06/05/2019,20/05/2019,07/05/2019",13,2019-05-27 00:00:00-03:00,3.25,2,-1.25,2,0,3.25,2,0,2,13,0.6153846153846154,0.6153846153846154
450,9422388,2019-05-29T16:33:45.000-03:00,2019-05-24T15:41:50.000-03:00,"09/05/2019,20/05/2019,24/05/2019",3,2019-05-27 00:00:00-03:00,7.5,5,-2.5,2,0,7.5,2,0,5,3,0.2666666666666667,0.6666666666666666
